bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,three_white_soldiers,three_black_crows,harami,piercing_line,dark_cloud_cover,abandoned_baby,moving_averages,bollinger_bands,keltner_channels,donchian_channels,parabolic_sar,rsi,stochastic,macd,williams_r,cci,obv,ad_line,mfi,cmf,vpt,awesome_oscillator,momentum,roc,rvi,atr,bbw,kcw,elder_ray,supertrend,demark,volume_delta,volume_ratio,volume_price_conf,volume_weighted,head_and_shoulders,double_patterns,volume_profile,fibonacci_tools,gann_tools
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"0      0.0
1      0.0
2      0.0
3      0.0
4      0.0
      ... 
246    0.0
247    0.0
248    1.0
249    0.0
250    0.0
Length: 251, dtype: float64",0.0,0.0,"0      0.0
1      0.0
2      0.0
3      0.0
4      0.0
      ... 
246    0.0
247    0.0
248    0.0
249    0.0
250    0.0
Length: 251, dtype: float64","{'SMA_10': 0          NaN
1          NaN
2          NaN
3          NaN
4          NaN
        ...   
246    175.969
247    177.148
248    178.685
249    180.005
250    181.149
Name: Close, Length: 251, dtype: float64, 'SMA_20': 0           NaN
1           NaN
2           NaN
3           NaN
4           NaN
         ...   
246    174.7270
247    175.2390
248    175.8890
249    176.0715
250    176.3455
Name: Close, Length: 251, dtype: float64, 'SMA_50': 0           NaN
1           NaN
2           NaN
3           NaN
4           NaN
         ...   
246    172.3722
247    172.3884
248    172.4082
249    172.5940
250    172.8392
Name: Close, Length: 251, dtype: float64, 'SMA_100': 0           NaN
1           NaN
2           NaN
3           NaN
4           NaN
         ...   
246    188.8326
247    188.4160
248    187.9709
249    187.4459
250    186.9175
Name: Close, Length: 251, dtype: float64, 'SMA_200': 0            NaN
1            NaN
2            NaN
3            NaN
4            NaN
         ...    
246    207.63115
247    207.31000
248    207.01765
249    206.71405
250    206.40680
Name: Close, Length: 251, dtype: float64}","0           NaN
1           NaN
2           NaN
3           NaN
4           NaN
         ...   
246    174.7270
247    175.2390
248    175.8890
249    176.0715
250    176.3455
Name: Close, Length: 251, dtype: float64","0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    174.826333
247    175.399667
248    175.934500
249    176.158500
250    176.463000
Length: 251, dtype: float64","0         NaN
1         NaN
2         NaN
3         NaN
4         NaN
        ...  
246    183.92
247    185.04
248    185.04
249    185.04
250    185.04
Name: High, Length: 251, dtype: float64",0.0,,"0            NaN
1            NaN
2            NaN
3            NaN
4            NaN
         ...    
246    82.112767
247    84.773414
248    95.951662
249    83.564955
250    78.972810
Length: 251, dtype: float64","0      0.000000
1     -0.031909
2     -0.046175
3     -0.301726
4     -0.870243
         ...   
246    1.998079
247    2.275976
248    2.615343
249    2.687891
250    2.653473
Name: Close, Length: 251, dtype: float64",,,-32204221.0,6440844.200000257,,,,,,,,,,,"0      1.140000
1      0.367143
2      0.767551
3     -1.977813
4     -6.293840
         ...   
246    5.853348
247    7.331441
248    6.299807
249    3.706977
250    2.907409
Length: 251, dtype: float64","0     NaN
1     NaN
2     NaN
3     NaN
4     NaN
       ..
246   NaN
247   NaN
248   NaN
249   NaN
250   NaN
Length: 251, dtype: float64","{'setup_buy': 0      0.0
1      0.0
2      0.0
3      0.0
4      1.0
      ... 
246    0.0
247    0.0
248    0.0
249    1.0
250    0.0
Length: 251, dtype: float64, 'setup_sell': 0      0.0
1      0.0
2      0.0
3      0.0
4      0.0
      ... 
246    1.0
247    1.0
248    1.0
249    0.0
250    1.0
Length: 251, dtype: float64, 'countdown_buy': 0      0.0
1      0.0
2      0.0
3      0.0
4      0.0
      ... 
246    0.0
247    0.0
248    0.0
249    0.0
250    0.0
Length: 251, dtype: float64, 'countdown_sell': 0       0.0
1       0.0
2       0.0
3       0.0
4       0.0
       ... 
246     0.0
247     0.0
248     0.0
249    13.0
250     0.0
Length: 251, dtype: float64}",,,,"{'volume_weighted_typical': 0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    175.070548
247    175.600869
248    176.264738
249    176.736104
250    177.233429
Length: 251, dtype: float64, 'volume_weighted_weighted': 0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    175.053766
247    175.581035
248    176.250349
249    176.720039
250    177.220549
Length: 251, dtype: float64, 'volume_weighted_median': 0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    175.154459
247    175.700038
248    176.336686
249    176.816428
250    177.297829
Length: 251, dtype: float64}",{},"{'tops': {'top_85_150': {'first': Point(x=85, y=237.49), 'second': Point(x=150, y=237.23)}}, 'bottoms': {'bottom_20_71': {'first': Point(x=20, y=219.38), 'second': Point(x=71, y=219.71)}}}",164.08,"{0: array([[ 35, 260],
       [208, 260]]), 0.236: array([[ 35, 237],
       [208, 237]]), 0.382: array([[ 35, 223],
       [208, 223]]), 0.5: array([[ 35, 212],
       [208, 212]]), 0.618: array([[ 35, 200],
       [208, 200]]), 0.786: array([[ 35, 184],
       [208, 184]]), 1: array([[ 35, 164],
       [208, 164]]), 1.618: array([[ 35, 104],
       [208, 104]]), 2.618: array([[ 35,   8],
       [208,   8]]), 4.236: array([[  35, -146],
       [ 208, -146]])}","{'1x8': array([[  0.        , 244.87      ],
       [ 32.76207425, 493.7226602 ]]), '1x4': array([[  0.        , 244.87      ],
       [ 64.96358032, 487.3173824 ]]), '1x3': array([[  0.        , 244.87      ],
       [ 80.68130579, 482.5494625 ]]), '1x2': array([[  0.        , 244.87      ],
       [111.01446124, 469.98505812]]), '1x1': array([[  0.        , 244.87      ],
       [177.48380208, 422.35380208]]), '2x1': array([[  0.        , 244.87      ],
       [225.11505812, 355.88446124]]), '3x1': array([[  0.        , 244.87      ],
       [237.6794625 , 325.55130579]]), '4x1': array([[  0.        , 244.87      ],
       [242.4473824 , 309.83358032]]), '8x1': array([[  0.        , 244.87      ],
       [248.8526602 , 277.63207425]])}"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"0      0.0
1      0.0
2      0.0
3      0.0
4      0.0
      ... 
246    1.0
247    0.0
248    0.0
249    0.0
250    0.0
Length: 251, dtype: float64",0.0,0.0,"0      0.0
1      0.0
2      0.0
3      0.0
4      0.0
      ... 
246    0.0
247    0.0
248    0.0
249    0.0
250    0.0
Length: 251, dtype: float64",,"0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    183.588315
247    184.670012
248    185.967011
249    186.488062
250    187.047391
Name: Close, Length: 251, dtype: float64","0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    182.569333
247    183.231667
248    183.351500
249    183.216500
250    183.200000
Length: 251, dtype: float64","0          NaN
1          NaN
2          NaN
3          NaN
4          NaN
        ...   
246    176.205
247    176.765
248    176.765
249    176.765
250    176.765
Length: 251, dtype: float64",4.9202,,"0            NaN
1            NaN
2            NaN
3            NaN
4            NaN
         ...    
246    87.377490
247    86.175281
248    87.612614
249    88.096677
250    86.163142
Length: 251, dtype: float64","0      0.000000
1     -0.006382
2     -0.014340
3     -0.071817
4     -0.231503
         ...   
246    0.700164
247    1.015327
248    1.335330
249    1.605842
250    1.815368
Name: Close, Length: 251, dtype: float64",,,-81026709.0,34506466.04431143,,,-79752.50214399591,,,,,,,,"0      -1.710000
1      -2.972857
2      -3.792449
3      -8.747813
4     -12.573840
         ...    
246     3.743348
247     4.521441
248     3.799807
249     1.476977
250     0.477409
Length: 251, dtype: float64","0     -1
1     -1
2     -1
3     -1
4     -1
      ..
246   -1
247   -1
248   -1
249   -1
250   -1
Length: 251, dtype: int32",,,,,,,,68149375.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,"0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    165.865685
247    165.807988
248    165.810989
249    165.654938
250    165.643609
Name: Close, Length: 251, dtype: float64","0             NaN
1             NaN
2             NaN
3             NaN
4             NaN
          ...    
246    167.083333
247    167.567667
248    168.517500
249    169.100500
250    169.726000
Length: 251, dtype: float64","0         NaN
1         NaN
2         NaN
3         NaN
4         NaN
        ...  
246    168.49
247    168.49
248    168.49
249    168.49
250    168.49
Name: Low, Length: 251, dtype: float64",9.741996,,,"0      0.000000
1     -0.025527
2     -0.031834
3     -0.229908
4     -0.638741
         ...   
246    1.297915
247    1.260649
248    1.280013
249    1.082049
250    0.838105
Name: Close, Length: 251, dtype: float64",,,-40130479.0,58362600.21097779,,,-58005.4170210777,,,,,,,,,,,,,,,,,172.08166666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,14.46735608,,,,,,-93744526.0,99147288.84465577,,,-730920.8883620411,,,,,,,,,,,,,,,,,1121988563.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,19.0982089584,,,,,,-138987815.0,143093795.67586592,,,-1603829.9544821912,,,,,,,,,,,,,,,,,180.08333333333334,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,23.636444779232,,,,,,-192706174.0,157317811.8617816,,,-2567662.5451437356,,,,,,,,,,,,,,,,,318230071.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,28.08391588364736,,,,,,-225821822.0,132993928.8175341,,,-3275188.8565529007,,,,,,,,,,,,,,,,,188.085,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,32.442437565974416,,,,,,-265529041.0,97646256.11723742,,,-3278677.3010071088,,,,,,,,,,,,,,,,,210126515.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,36.713788814654926,,,,,,-235603691.0,117270892.17064968,,,-2543788.63738632,,,,,,,,,,,,,,,,,196.08666666666667,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,40.899713038361824,,,,,,-275268683.0,153329975.8070135,,,-2671345.210579014,,,,0.36004098360655834,,,,,,,,,,,,,537626434.0,,
